White border ratio: 0.66;
Color code ratio: 0.3;
Demand ratio: 0.2;
Number of slots: 7;
Number of designs: 91;
Number of customer-specific designs: 70;
Number of standard designs: 21;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 12, 0, 0, 0.0035, 40000;
2, 11, 1, 0, 0.0035, 50500;
3, 10, 1, 0, 0.0035, 50500;
4, 15, 0, 0, 0.0035, 50500;
5, 14, 1, 0, 0.0035, 56000;
6, 5, 0, 0, 0.0035, 7500;
7, 21, 1, 0, 0.0035, 34500;
8, 17, 1, 0, 0.0035, 77500;
9, 18, 0, 0, 0.0035, 24000;
10, 17, 0, 0, 0.0035, 72000;
11, 7, 0, 0, 0.0035, 34500;
12, 16, 1, 0, 0.0035, 66500;
13, 5, 1, 0, 0.0035, 29000;
14, 17, 1, 0, 0.0035, 61000;
15, 9, 1, 0, 0.0035, 7500;
16, 19, 1, 0, 0.0035, 13000;
17, 3, 1, 0, 0.0035, 61000;
18, 17, 1, 0, 0.0035, 45000;
19, 11, 1, 0, 0.0035, 61000;
20, 12, 1, 0, 0.0035, 66500;
21, 4, 1, 0, 0.0035, 34500;
22, 11, 0, 0, 0.0035, 40000;
23, 11, 1, 0, 0.0035, 18500;
24, 3, 0, 0, 0.0035, 45000;
25, 13, 1, 0, 0.0035, 13000;
26, 13, 1, 0, 0.0035, 72000;
27, 7, 1, 0, 0.0035, 50500;
28, 8, 0, 0, 0.0035, 24000;
29, 2, 1, 0, 0.0035, 50500;
30, 11, 0, 0, 0.0035, 13000;
31, 18, 0, 0, 0.0035, 40000;
32, 14, 1, 0, 0.0035, 34500;
33, 14, 0, 0, 0.0035, 45000;
34, 10, 0, 0, 0.0035, 61000;
35, 2, 1, 0, 0.0035, 24000;
36, 1, 0, 0, 0.0035, 13000;
37, 15, 1, 0, 0.0035, 29000;
38, 20, 1, 0, 0.0035, 66500;
39, 2, 1, 0, 0.0035, 56000;
40, 18, 0, 0, 0.0035, 7500;
41, 13, 0, 0, 0.0035, 50500;
42, 5, 1, 0, 0.0035, 77500;
43, 19, 1, 0, 0.0035, 72000;
44, 7, 1, 0, 0.0035, 45000;
45, 6, 1, 0, 0.0035, 29000;
46, 7, 0, 0, 0.0035, 56000;
47, 3, 1, 0, 0.0035, 24000;
48, 18, 1, 0, 0.0035, 45000;
49, 1, 1, 0, 0.0035, 7500;
50, 20, 1, 0, 0.0035, 7500;
51, 2, 0, 0, 0.0035, 13000;
52, 14, 1, 0, 0.0035, 77500;
53, 2, 1, 0, 0.0035, 13000;
54, 1, 1, 0, 0.0035, 72000;
55, 21, 0, 0, 0.0035, 72000;
56, 1, 1, 0, 0.0035, 18500;
57, 9, 1, 0, 0.0035, 77500;
58, 5, 0, 0, 0.0035, 50500;
59, 14, 0, 0, 0.0035, 34500;
60, 8, 0, 0, 0.0035, 66500;
61, 2, 1, 0, 0.0035, 40000;
62, 18, 1, 0, 0.0035, 61000;
63, 3, 1, 0, 0.0035, 61000;
64, 14, 1, 0, 0.0035, 72000;
65, 11, 1, 0, 0.0035, 50500;
66, 18, 0, 0, 0.0035, 56000;
67, 17, 1, 0, 0.0035, 56000;
68, 6, 1, 0, 0.0035, 7500;
69, 5, 1, 0, 0.0035, 61000;
70, 9, 0, 0, 0.0035, 50500;
71, 12, 0, 1, 0.001, 0;
72, 11, 0, 1, 0.001, 0;
73, 10, 0, 1, 0.001, 0;
74, 15, 0, 1, 0.001, 0;
75, 14, 0, 1, 0.001, 0;
76, 5, 0, 1, 0.001, 0;
77, 21, 0, 1, 0.001, 0;
78, 17, 0, 1, 0.001, 0;
79, 18, 0, 1, 0.001, 0;
80, 7, 0, 1, 0.001, 0;
81, 16, 0, 1, 0.001, 0;
82, 9, 0, 1, 0.001, 0;
83, 19, 0, 1, 0.001, 0;
84, 3, 0, 1, 0.001, 0;
85, 4, 0, 1, 0.001, 0;
86, 13, 0, 1, 0.001, 0;
87, 8, 0, 1, 0.001, 0;
88, 2, 0, 1, 0.001, 0;
89, 1, 0, 1, 0.001, 0;
90, 20, 0, 1, 0.001, 0;
91, 6, 0, 1, 0.001, 0;
