White border ratio: 0.66;
Color code ratio: 0.15;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 58;
Number of customer-specific designs: 50;
Number of standard designs: 8;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 6, 1, 0, 0.0035, 33000;
2, 2, 0, 0, 0.0035, 33000;
3, 5, 0, 0, 0.0035, 52000;
4, 2, 1, 0, 0.0035, 44500;
5, 6, 1, 0, 0.0035, 55500;
6, 6, 1, 0, 0.0035, 48000;
7, 2, 1, 0, 0.0035, 70500;
8, 7, 1, 0, 0.0035, 67000;
9, 5, 1, 0, 0.0035, 7000;
10, 6, 1, 0, 0.0035, 74500;
11, 4, 0, 0, 0.0035, 74500;
12, 2, 1, 0, 0.0035, 14500;
13, 1, 1, 0, 0.0035, 10500;
14, 7, 1, 0, 0.0035, 37000;
15, 3, 1, 0, 0.0035, 44500;
16, 4, 1, 0, 0.0035, 63000;
17, 3, 0, 0, 0.0035, 63000;
18, 4, 1, 0, 0.0035, 78000;
19, 8, 1, 0, 0.0035, 33000;
20, 2, 1, 0, 0.0035, 48000;
21, 2, 1, 0, 0.0035, 10500;
22, 7, 0, 0, 0.0035, 7000;
23, 7, 0, 0, 0.0035, 40500;
24, 1, 0, 0, 0.0035, 37000;
25, 6, 1, 0, 0.0035, 22000;
26, 2, 1, 0, 0.0035, 78000;
27, 1, 0, 0, 0.0035, 78000;
28, 5, 1, 0, 0.0035, 78000;
29, 1, 0, 0, 0.0035, 70500;
30, 4, 1, 0, 0.0035, 70500;
31, 6, 1, 0, 0.0035, 7000;
32, 6, 0, 0, 0.0035, 37000;
33, 7, 1, 0, 0.0035, 78000;
34, 3, 0, 0, 0.0035, 55500;
35, 4, 0, 0, 0.0035, 22000;
36, 7, 0, 0, 0.0035, 59500;
37, 8, 0, 0, 0.0035, 40500;
38, 4, 1, 0, 0.0035, 29500;
39, 4, 0, 0, 0.0035, 67000;
40, 7, 0, 0, 0.0035, 10500;
41, 1, 1, 0, 0.0035, 40500;
42, 7, 1, 0, 0.0035, 44500;
43, 8, 0, 0, 0.0035, 59500;
44, 7, 1, 0, 0.0035, 48000;
45, 6, 1, 0, 0.0035, 37000;
46, 7, 1, 0, 0.0035, 25500;
47, 7, 1, 0, 0.0035, 18000;
48, 5, 1, 0, 0.0035, 10500;
49, 6, 1, 0, 0.0035, 14500;
50, 8, 1, 0, 0.0035, 18000;
51, 6, 0, 1, 0.001, 0;
52, 2, 0, 1, 0.001, 0;
53, 5, 0, 1, 0.001, 0;
54, 7, 0, 1, 0.001, 0;
55, 4, 0, 1, 0.001, 0;
56, 1, 0, 1, 0.001, 0;
57, 3, 0, 1, 0.001, 0;
58, 8, 0, 1, 0.001, 0;
